7200,1C20,D,OFlln Police,O Fallon Police Dispatch Patch w 4605R,Law Dispatch,St Clair County  Fairview Heights  O Fallon,2
7201,1C21,D,OFallon Fire,O Fallon Fire Dispatch Ch 4 Patch w 154235R,Fire Dispatch,St Clair County  Fairview Heights  O Fallon,1
7202,1C22,D,OFallon EMS,O Fallon EMS Dispatch Patch w 15522,EMS Dispatch,St Clair County  Fairview Heights  O Fallon,2
7203,1C23,D,OF EMS c2c,O Fallon EMS CartoCar ,EMS-Tac,St Clair County  Fairview Heights  O Fallon,2
7205,1C25,D,OF PoliceOps,O Fallon Police Operations,Fire-Tac,St Clair County  Fairview Heights  O Fallon,2
7206,1C26,D,OF PoliceInv,O Fallon Police Investigations,Law Tac,St Clair County  Fairview Heights  O Fallon,2
7207,1C27,D,OF Fire SOA,O Fallon Fire Scene of Action Fireground  CartoCar,Fire-Tac,St Clair County  Fairview Heights  O Fallon,1
7208,1C28,D,OF Fire 7208,O Fallon Fire,Fire-Tac,St Clair County  Fairview Heights  O Fallon,1
7209,1C29,D,OF CW 7209,O Fallon Citywide  OpsPoliceFire,Fire-Tac,St Clair County  Fairview Heights  O Fallon,2
7210,1C2A,D,OF Fire Cmnd,O Fallon Fire Ops  Command  Admin,Fire-Tac,St Clair County  Fairview Heights  O Fallon,1
7211,1C2B,D,ShilohPolice,Shiloh Police Dispatch DB Ofallon,Law Dispatch,St Clair County  Fairview Heights  O Fallon,2
7212,1C2C,D,OF Fire Sprv,O Fallon Fire Supervisor,Fire-Tac,St Clair County  Fairview Heights  O Fallon,1
7214,1C2E,D,OF PublicWrk,O Fallon Public Works  Snow Plows,Fire-Tac,St Clair County  Fairview Heights  O Fallon,3
7219,1C33,D,FH Emergncy,Fairview Heights Emergency Button Trigger to FH PSAP,Emergency Ops,St Clair County  Fairview Heights  O Fallon,3
7220,1C34,D,FHts Police,Fairview Heights Police Dispatch UHF Patch,Law Dispatch,St Clair County  Fairview Heights  O Fallon,3
7221,1C35,D,FrvwHts Fire,Fairview Heights Fire Dispatch w French Village Patch w 154415 Ch 4,Fire Dispatch,St Clair County  Fairview Heights  O Fallon,3
7222,1C36,D,FH Police c2,Fairview Heights Police CartoCar  Secondary Dispatch,Law Tac,St Clair County  Fairview Heights  O Fallon,3
7223,1C37,D,FH Fire c2c,Fairview Heights Fire CartoCar ,Fire-Tac,St Clair County  Fairview Heights  O Fallon,3
7224,1C38,D,FH Supervisr,Fairview Heights Public Safety Command Staff  Supervisor ,Interop,St Clair County  Fairview Heights  O Fallon,3
7225,1C39,D,FH PD Sprvsr,Fairview Heights Police Supervisor,Law Tac,St Clair County  Fairview Heights  O Fallon,3
7226,1C3A,D,FH Fire Sprv,Fairview Heights Fire Supervisor Ch 3 Inspectors,Fire-Tac,St Clair County  Fairview Heights  O Fallon,3
7227,1C3B,D,FH PD Invstg,Fairview Heights Police Investigations,Law Tac,St Clair County  Fairview Heights  O Fallon,3
7228,1C3C,D,FH PD SpDet1,Fairview Heights Police Special Detail 1 w Dispatcher ,Law Tac,St Clair County  Fairview Heights  O Fallon,3
7229,1C3D,D,FH Citywide,Fairview Heights Citywide in every FH Radio Parks,Multi-Tac,St Clair County  Fairview Heights  O Fallon,3
7230,1C3E,D,FH GovParks,Fairview Heights Parks others,Public Works,St Clair County  Fairview Heights  O Fallon,3
7231,1C3F,D,FH PublicWrk,Fairview Heights Public Works ,Public Works,St Clair County  Fairview Heights  O Fallon,3
7234,1C42,D,Bv PD 7234,Belleville Police Operations,Law Tac,St Clair County  BellevilleSwansea,3
7235,1C43,D,Bv PD 7235,Belleville Police Operations Dispatcher some encryption,Law Tac,St Clair County  BellevilleSwansea,3
7236,1C44,D,Bellv Police,Belleville Police Dispatch Patch Ch 1,Law Dispatch,St Clair County  BellevilleSwansea,3
7237,1C45,D,BellvileFire,Belleville Fire ToneOutsDispatch Patch Ch 2,Law Dispatch,St Clair County  BellevilleSwansea,3
7238,1C46,D,Bv PD c2c F3,Belleville Police CartoCar Ch 3,Law Tac,St Clair County  BellevilleSwansea,3
7239,1C47,D,Bv Fire c2c4,Belleville Fire CartoCar Ch 4,Fire-Tac,St Clair County  BellevilleSwansea,3
7240,1C48,E,Bv PD DetE,Belleville Police Encrypted Supervisor,Law Tac,St Clair County  BellevilleSwansea,3
7241,1C49,D,Bv PD 7241,Belleville Police Operations,Law Tac,St Clair County  BellevilleSwansea,3
7243,1C4B,D,Swansea Fire,Swansea Fire ,Fire-Tac,St Clair County  BellevilleSwansea,3
7244,1C4C,D,Bv Fire Sup5,Belleville Fire Supervisor Ch 5,Fire-Tac,St Clair County  BellevilleSwansea,3
7245,1C4D,D,SwnseaPolice,Swansea Police Dispatch Patch,Law Dispatch,St Clair County  BellevilleSwansea,3
7246,1C4E,D,SCC Law 7246,Belleville Law Operations possible Swansea,Law Tac,St Clair County  BellevilleSwansea,3
7248,1C50,D,SCC Law 7248,Belleville Law Operations,Law Tac,St Clair County  BellevilleSwansea,3
7249,1C51,D,Sauget PDc2c,Sauget Police CartoCar was listed as Swansea,Law Tac,St Clair County  BellevilleSwansea,3
7250,1C52,D,SaugetPolice,Sauget Police ,Law Dispatch,St Clair County  Law Enforcement,3
7251,1C53,D,StLiboryFire,St Libory Fire  Local,Fire-Tac,St Clair County  FireEMS,3
7252,1C54,D,Medstar 7252,Medstar EMS E BellevilleSAFB,EMS Dispatch,St Clair County  BellevilleSwansea,3
7253,1C55,D,UP Police,Union Pacific Police Cahokia area,Law Tac,St Clair County  Law Enforcement,3
7254,1C56,D,Swans Police,Swansea Police,Law Tac,St Clair County  BellevilleSwansea,3
7255,1C57,D,ColumbiaFire,Columbia Fire Patched to 15419 CSQ,Fire Dispatch,Monroe County,3
7256,1C58,D,SWIC Police,SouthWestern Illinois College Police Dispatch Belleville,Law Tac,St Clair County  BellevilleSwansea,3
7258,1C5A,D,FrmtCityFire,Fairmont City Fire,Fire-Tac,St Clair County  FireEMS,3
7259,1C5B,D,BvFireComn2,Belleville Area Fire Departments Northwest FPD,Fire-Tac,St Clair County  BellevilleSwansea,3
7260,1C5C,D,BvFireComn3,Belleville Area Fire Departments Signal Hill FPD,Fire-Tac,St Clair County  BellevilleSwansea,3
7261,1C5D,D,BvFireComn4,Belleville Area Fire Departments Villa Hills FPD,Fire-Tac,St Clair County  BellevilleSwansea,3
7262,1C5E,D,Bv FireComn5,Belleville Area Fire Common 5 East Side FPD ,Fire-Tac,St Clair County  BellevilleSwansea,3
7264,1C60,D,CaseyvilleCW,Caseyville Citywide,Multi-Tac,St Clair County  Rural MunicipalitiesTownships,3
7265,1C61,D,SCC 7265 5,St Clair County Operations Ch 5,Multi-Tac,St Clair County  Rural MunicipalitiesTownships,3
7269,1C65,D,CahokiaSch69,Cahokia CUSD187 Security  Transportation,Schools,St Clair County  Government  Countywide,3
7270,1C66,D,CahokiaSch70,Cahokia CUSD187 Ops,Schools,St Clair County  Government  Countywide,3
7271,1C67,D,WashParkFire,Washington Park Fire,Fire Dispatch,St Clair County  FireEMS,3
7272,1C68,D,Smthn PubWrk,Smithton Public Works ,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7273,1C69,D,SCC Fire7273,St Clair County Fire  Emergency Management  ITECS units,Emergency Ops,St Clair County  FireEMS,3
7274,1C6A,D,CntrvlFDICOM,Centreville Area Fire Departments  TrucktoTruck ICOM,Fire-Tac,St Clair County  FireEMS,3
7275,1C6B,D,MemHosp Sec,Memorial Hospital Security Belleville,Security,St Clair County  Government  Countywide,3
7277,1C6D,D,CmpJksnFire7,Camp Jackson Fire En Route  Fireground,Fire-Tac,St Clair County  FireEMS,3
7278,1C6E,D,FCity Police,Fairmont City Police,Law Tac,St Clair County  Law Enforcement,3
7279,1C6F,D,FC PD 7279,Fairmont City Police RIDs T301,Law Tac,St Clair County  Law Enforcement,3
7281,1C71,D,Csyvl PD c2c,Caseyville Police CartoCar  Citywide,Multi-Tac,St Clair County  FireEMS,3
7282,1C72,D,FedPris 7282,Law  Federal Prisoner Transfers,Corrections,St Clair County  Law Enforcement,3
7283,1C73,D,SCC Fire7383,St Clair County unid Fire RID 21390 27384 27390,Fire-Tac,St Clair County  FireEMS,3
7286,1C76,D,SCC 7286 Law,St Clair County unid Law,Law Tac,St Clair County  FireEMS,3
